abbrevName, fullName, shortDescription
NVDA, Nvidia, Global leader in AI computing and high-performance semiconductor chips.
AAPL, Apple, Consumer tech giant and pioneer in integrated ecosystem hardware.
GOOGL, Alphabet, Parent company of Google and leader in global search and digital advertising.
MSFT, Microsoft, Dominant force in enterprise software, cloud computing, and AI integration.
AMZN, Amazon, Global e-commerce leader and pioneer in cloud infrastructure via AWS.
TSM, Taiwan Semiconductor Manufacturing Company, World's largest dedicated independent semiconductor foundry.
2222.SR, Saudi Aramco, Largest global producer of oil and natural gas.
META, Meta Platforms, Social media titan owning Facebook, Instagram, and WhatsApp.
TSLA, Tesla, Leader in electric vehicle manufacturing and renewable energy storage.
BRK.B, Berkshire Hathaway, Massive conglomerate with holdings across insurance, rail, and energy.
AVGO, Broadcom, Critical designer of semiconductor and infrastructure software solutions.
WMT, Walmart, World's largest brick-and-mortar retailer and supply chain innovator.
LLY, Eli Lilly, Pharmaceutical leader specializing in diabetes, obesity, and oncology.
JPM, JPMorgan Chase, Largest bank in the United States and a global financial powerhouse.
005930.KS, Samsung Electronics, Global leader in consumer electronics and memory chips.
V, Visa, Global leader in digital payments and transaction processing.
UNH, UnitedHealth Group, Healthcare giant providing insurance and clinical services.
XOM, ExxonMobil, Multi-national energy corporation and major oil producer.
MA, Mastercard, Major global financial services and payment technology provider.
NVO, Novo Nordisk, Healthcare leader known for weight-loss and diabetes treatments.
ASML, ASML Holding, Exclusive supplier of extreme ultraviolet lithography machines for chips.
TCEHY, Tencent, Chinese internet giant and world leader in gaming and social messaging.
ORCL, Oracle, Major provider of enterprise database software and cloud solutions.
COST, Costco, Dominant membership-based warehouse retailer.
JNJ, Johnson & Johnson, Global leader in healthcare products and pharmaceuticals.
PG, Procter & Gamble, Consumer goods giant with iconic brands like Tide and Gillette.
HD, Home Depot, Largest home improvement retailer in the world.
CVX, Chevron, Global integrated energy and petrochemical company.
ABBV, AbbVie, Biopharmaceutical leader focused on immunology and oncology.
BAC, Bank of America, One of the world's largest financial institutions.
KO, Coca-Cola, The world's leading beverage company.
NFLX, Netflix, Pioneer and leader in global streaming entertainment.
PEP, PepsiCo, Global food and beverage giant owning Frito-Lay and Quaker.
ABT, Abbott Laboratories, Leader in medical devices, diagnostics, and nutrition.
CSCO, Cisco Systems, Global leader in networking hardware and cybersecurity.
